Starting optimization with 60...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  
  0     1.458941e-03   6.825363e-03   
  1     1.412787e-03   6.699213e-03   6.825363e-03   2         2         1         0         
  2     8.467136e-05   8.694027e-04   3.693341e-01   3         3         1         0         
  3     4.741816e-05   4.414843e-04   6.362259e-02   4         4         1         0         
  4     2.870366e-05   3.469183e-04   6.283020e-02   5         5         1         0         
  5     1.601404e-05   3.284309e-04   7.786068e-02   6         6         1         0         
  6     1.160346e-05   2.256801e-04   4.295767e-02   8         7         2         0         
  7     8.951714e-06   1.419573e-04   2.299848e-02   9         8         1         0         
  8     6.441721e-06   1.235202e-04   3.440600e-02   10        9         1         0         
  9     4.535542e-06   9.757001e-05   3.544304e-02   11        10        1         0         
  10    2.717656e-06   1.026601e-04   5.276399e-02   12        11        1         0         
  11    2.576280e-06   1.603349e-04   3.199573e-02   14        12        2         0         
  12    1.957221e-06   4.534852e-05   8.704231e-03   15        13        1         0         
  13    1.804315e-06   4.212065e-05   5.538047e-03   16        14        1         0         
  14    1.417766e-06   5.169952e-05   1.773653e-02   17        15        1         0         
  15    8.928005e-07   4.899504e-05   3.133740e-02   18        16        1         0         
  16    6.080490e-07   5.383746e-05   3.616794e-02   19        17        1         0         
  17    4.608951e-07   3.309682e-05   1.842027e-02   20        18        1         0         
  18    3.767263e-07   1.908211e-05   6.541684e-03   21        19        1         0         
  19    2.692745e-07   2.027905e-05   9.998374e-03   22        20        1         0         
  20    1.350896e-07   2.647267e-05   2.159742e-02   23        21        1         0         
  21    4.359650e-08   1.620214e-05   2.541207e-02   24        22        1         0         
  22    3.479346e-08   1.434166e-05   8.180439e-03   26        23        2         0         
  23    2.430932e-08   2.316091e-06   2.385896e-03   27        24        1         0         
  24    2.375849e-08   1.410741e-06   7.253225e-04   28        25        1         0         
  25    2.333429e-08   1.743578e-06   5.205768e-04   29        26        1         0         
  26    2.181354e-08   3.389370e-06   1.806463e-03   30        27        1         0         
  27    1.877134e-08   5.534197e-06   3.942270e-03   31        28        1         0         
  28    1.298257e-08   7.216904e-06   8.452094e-03   32        29        1         0         
  29    5.448053e-09   6.533847e-06   1.252623e-02   33        30        1         0         
  30    4.603143e-09   6.013436e-06   3.950123e-03   36        31        3         0         
  31    8.472304e-10   2.277664e-06   6.192710e-03   37        32        1         0         
  32    2.351045e-10   5.856265e-07   9.513864e-04   38        33        1         0         
  33    1.799805e-10   2.092173e-07   7.027911e-04   39        34        1         0         
  34    1.725385e-10   1.842973e-07   1.547816e-04   40        35        1         0         
  35    1.602776e-10   1.945237e-07   1.748615e-04   41        36        1         0         
  36    1.373522e-10   2.292777e-07   3.530631e-04   42        37        1         0         
  37    1.315858e-10   1.836968e-07   1.797075e-04   44        38        2         0         
  38    1.275321e-10   7.063817e-08   1.673352e-04   45        39        1         0         
  39    1.263174e-10   5.285153e-08   9.654540e-05   46        40        1         0         
  40    1.251500e-10   5.639267e-08   5.666037e-05   47        41        1         0         
  41    1.220322e-10   7.898899e-08   1.331894e-04   48        42        1         0         
  42    1.178633e-10   1.173161e-07   2.154676e-04   49        43        1         0         
  43    1.132932e-10   1.721204e-07   4.203020e-04   50        44        1         0         
  44    1.085689e-10   9.335675e-08   1.506501e-04   51        45        1         0         
  45    1.056418e-10   5.375210e-08   1.411667e-04   52        46        1         0         
  46    1.045915e-10   4.201711e-08   6.814379e-05   53        47        1         0         
  47    1.027443e-10   6.419064e-08   1.529414e-04   54        48        1         0         
  48    1.000880e-10   1.104666e-07   2.294995e-04   55        49        1         0         
  49    9.404981e-11   1.794315e-07   5.077564e-04   56        50        1         0         
